gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1660907809					07/06/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005811	005811		Andres Oscar Contreras																																																																	Argentina		La Rioja	Gobernador Gordillo		Gobernador Gordillo																																																								2/17/79												Coryphistera alaudina								Animalia	Chordata	Aves	Passeriformes		Furnariidae				Coryphistera				alaudina			N/A							
1660907808					24/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005743	005743		Ana Fernández																																																																	Argentina		Mendoza	Guaymallén		La Primavera																																																								12/11/79												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907807					24/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005465	005465		Julio Rafael Contreras Roqué																																																																	Argentina		San Luis	Ayacucho		NE de Luján,Qda.río Cebollar																																																								10/24/79												Nothoprocta pentlandii								Animalia	Chordata	Aves	Tinamiformes		Tinamidae				Nothoprocta				pentlandii			N/A							
1660907806					05/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005094	005094		Andres Oscar Contreras																																																																	Argentina		Corrientes	General Paz		Paso Florentín																																																								8/1/78												Egretta thula								Animalia	Chordata	Aves	Pelecaniformes		Ardeidae				Egretta				thula			N/A							
1660907805					27/05/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005494	005494		Andres Oscar Contreras																																																																	Argentina		Salta	Los Molinos		Luracatao Laguna Brealito., 3400msnm																																																								1/23/79												Oxyura ferruginea								Animalia	Chordata	Aves	Anseriformes		Anatidae				Oxyura				ferruginea			N/A							
1660907804					13/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005545	005545		Federico Contino																																																																	Argentina		Jujuy	N/A		Abra Pampa																																																								2/19/64												Phalaropus tricolor								Animalia	Chordata	Aves	Charadriiformes		Scolopacidae				Phalaropus				tricolor			N/A							
1660907803					19/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005418	005418		Julio Rafael Contreras Roqué																																																																	Argentina		Neuquén	Collón Curá		Collón Curá																																																								11/20/73												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907802					24/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005206	005206		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								7/22/60												Geranospiza caerulescens								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Geranospiza				caerulescens			N/A							
1660907801					16/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005733	005733		Federico Contino																																																																	Argentina		Jujuy	Valle grande		Santa Bárbara El Fuerte																																																								11/8/63												Penelope obscura								Animalia	Chordata	Aves	Galliformes		Cracidae				Penelope				obscura			N/A							
1660907800					25/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005507	005507		Andres Oscar Contreras																																																																	Argentina		La Rioja	Gobernador Gordillo		Est. Vizcacha																																																								2/18/79												Spiziapteryx circumcinctus								Animalia	Chordata	Aves	Falconiformes		Falconidae				Spiziapteryx				circumcinctus			N/A							
1660907799					16/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005568	005568		Gunnar Höy																																																																	Argentina		Salta	Orán		Orán																																																								6/2/56												Penelope obscura								Animalia	Chordata	Aves	Galliformes		Cracidae				Penelope				obscura			N/A							
